"","ssvid","best_flag","best_vessel_class","vessel_name"
"110","412420001","CHN","squid_jigger","XINJILI5"
"111","412420001","CHN","squid_jigger","AISTESTSHIP"
"112","412420377","CHN","squid_jigger",NA
"113","412420377","CHN","squid_jigger","ZHEPUYUAN52"
"114","412420377","CHN","squid_jigger","PUYUAN898"
"115","412420377","CHN","squid_jigger","ZHANHAI7"
"116","412440743","CHN","squid_jigger","FUYUANYU7619"
"117","412440737","CHN","squid_jigger","FUYUANYU7614"
"118","412420459","CHN","squid_jigger","HONGDA18"
"119","412420459","CHN","squid_jigger",NA
"120","412420459","CHN","squid_jigger","H0NDA18"
"121","412420459","CHN","squid_jigger","H0NGDA18"
"122","412331062","CHN","squid_jigger","YUANSHENG6"
"123","412336962","CHN","squid_jigger","LURONGYUANYU581"
"124","412336962","CHN","fishing","LURONGYUANYU581"
"125","412549301","CHN","squid_jigger","NINGTAI815"
"126","412440668","CHN","squid_jigger","FUYUANYU7890"
"127","412440668","CHN","squid_jigger",NA
"128","412422105","CHN","non_fishing","ZHEPUYUYUN38888"
"129","412422105","CHN","non_fishing","ZHEPUYUYUN38705"
"130","412422105","CHN","non_fishing","ZHEPUYUYUN38388"
"131","412549079","CHN","squid_jigger","ZHEPUYUAN37"
"132","412328762","CHN","squid_jigger","LURONGYUANYU779"
"133","412333275","CHN","squid_jigger","LURONGYUANYU539"
"134","412320029","CHN","squid_jigger","JINGYUAN608"
"135","412320029","CHN","fishing","JINGYUAN608"
"136","412320029","CHN","squid_jigger","LUDONGGANGYU68379"
"137","412320029","CHN","fishing","LUDONGGANGYU68379"
"138","412549158","CHN","squid_jigger","SHUNZE85"
"139","412549158","CHN","squid_jigger","JULONGJIAYA31"
"140","412329643","CHN","squid_jigger","LUWEIYUANYU868"
"141","412329643","CHN","squid_jigger",NA
"142","412333739","CHN","squid_jigger","LURONGYUANYU775"
"143","412333739","CHN","squid_jigger",NA
"144","412331175","CHN","squid_jigger","LURONGYUANYU881"
"145","412331175","CHN","squid_jigger",NA
"146","412331175","CHN","squid_jigger","LULANYUANYU59"
"147","412331175","CHN","squid_jigger","LURONGYUANYU"
"148","412333797","CHN","squid_jigger","LURONGYUANYU669"
"149","412333797","CHN","squid_jigger",NA
"150","412421133","CHN","squid_jigger","SHUNZE958"
"151","412420575","CHN","squid_jigger","JIADE15"
"152","412420575","CHN","squid_jigger",NA
"153","412420575","CHN","squid_jigger","JIADE"
"154","412337344","CHN","squid_jigger",NA
"155","412337344","CHN","squid_jigger","LUQINGYUANYU276"
"156","412549193","CHN","squid_jigger","JIADE58"
"157","412420532","CHN","squid_jigger","JIMHAIYANG2"
"158","412420532","CHN","squid_jigger","JINHAIYIANG2"
"159","412420532","CHN","squid_jigger","JINGHAIYANG2"
"160","412420532","CHN","squid_jigger","JINHAIYANG2"
"161","412420532","CHN","squid_jigger",NA
"162","412549299","CHN","fishing","LURONGYUANYU837"
"163","412420003","CHN",NA,"TIANSHUN"
"164","412420003","CHN",NA,NA
"165","150402975",NA,NA,NA
"166","412331077","CHN","squid_jigger","ZHONGYUANYU2"
"167","412331077","CHN","squid_jigger","LURONGYUANYU678"
"168","412331077","CHN","squid_jigger","LUYANYUANYU17"
"169","412440727","CHN","squid_jigger","FUYUANYU7601"
"170","412420382","CHN","squid_jigger","MINGXIANG801"
"171","412329462","CHN","squid_jigger","CHANGSHUN6"
"172","412329462","CHN","squid_jigger","CHANSHUN6"
"173","412328784","CHN","squid_jigger","WEIYU19"
"174","412440665","CHN","squid_jigger","FUYUANYU7875"
"175","412440665","CHN","squid_jigger",NA
"176","412549099","CHN","squid_jigger","MINGXIANG878"
"177","412421059","CHN","squid_jigger","NINGTAI76"
"178","412221070","CHN","fishing","LURONGYUANYU195"
"179","412221070","CHN","fishing","LUQINGYUANYU289"
"180","412549098","CHN","squid_jigger","ZHEXIANGYU49098"
"181","412549098","CHN","squid_jigger",NA
"182","412549098","CHN","squid_jigger","MINGXIANG858"
"183","412334081","CHN","squid_jigger",NA
"184","412334081","CHN","squid_jigger","LURONGYUANYU609"
"185","412331072","CHN","squid_jigger","LURONGYUANYU808"
"186","412421175","CHN","squid_jigger","HENGXIN78"
"187","412421175","CHN","squid_jigger","ZHEPUYU421175"
"188","412549161","CHN","squid_jigger","JULONGJIAYA33"
"189","412549161","CHN","squid_jigger","SHUNZE6"
"190","412329644","CHN","squid_jigger","LUWEIYUANYU898"
"191","412421093","CHN","squid_jigger","XINJILI55"
"192","412549351","CHN","squid_jigger","LUQINGYUANYU765"
"193","412440772","CHN","squid_jigger","FUYUANYU7622"
"194","412549121","CHN","squid_jigger","RUNDA216"
"195","412435461","CHN","squid_jigger","OUYA17"
"196","412435461","CHN","squid_jigger","ZHEXIANGYU10100"
"197","412435461","CHN","fishing","ZHEXIANGYUYUN67043"
"198","412421062","CHN","squid_jigger","HUAXIANG801"
"199","412440732","CHN","squid_jigger","FUYUANYU7605"
"200","412440775","CHN","squid_jigger","FUYUANYU7626"
"201","412420384","CHN","squid_jigger","MINGXIANG803"
"202","412331091","CHN","squid_jigger","JINGYUAN628"
"203","412421041","CHN","squid_jigger",NA
"204","412421041","CHN","squid_jigger","DONGYU1529"
"205","538003850","MHL","tanker","UACCMANSOURIA"
"206","412420623","CHN","squid_jigger","NINGTAI16"
"207","412420623","CHN","squid_jigger",NA
"208","412330029","CHN","squid_jigger","JINGYUAN608"
"209","412549349","CHN","cargo_or_reefer","LURONGYUANYUYUN668"
"210","412421005","CHN","squid_jigger","SHUNXING16"
"211","412421005","CHN","squid_jigger","SHUNHANG16"
"212","412280932","CHN","squid_jigger","HEBEI8599"
"213","412690730","CHN","squid_jigger","ZHOUYU2"
"214","412690730","CHN","squid_jigger",NA
"215","412690730","CHN","squid_jigger","ZHOUYUERHAO"
"216","412420418","CHN","squid_jigger","ZHOUHONGYUAN2"
"217","412420418","CHN","squid_jigger","ZHOUHONGYUA2"
"218","412420418","CHN","squid_jigger",NA
"219","412440763","CHN","squid_jigger","FUYUANYU7670"
"220","412549531","CHN","squid_jigger","SHUNHANG86"
"221","412549049","CHN","fishing","NINGTAI616"
"222","412549139","CHN","squid_jigger","ZHEPUYUAN67"
"223","412328786","CHN","squid_jigger","WEIYU16"
"224","412328786","CHN","squid_jigger",NA
"225","412421068","CHN","squid_jigger","HAILI38"
"226","412420646","CHN","squid_jigger",NA
"227","412420646","CHN","squid_jigger","TIANYUE1"
"228","412440658","CHN","squid_jigger","FUYUANYU7869"
"229","412440658","CHN","squid_jigger","60658"
"230","412329463","CHN","squid_jigger","CHANGSHUN7"
"231","412440666","CHN","squid_jigger","MINDONGYU60666"
"232","412440666","CHN","squid_jigger","MINZHANGYU5586"
"233","412440666","CHN","squid_jigger",NA
"234","412549001","CHN","squid_jigger","HONGPU37"
"235","412420573","CHN","squid_jigger","JIADE11"
"236","412329653","CHN","squid_jigger","CHANGSHUN2"
"237","412329653","CHN","squid_jigger","CHANGSHNN2"
"238","412422122","CHN","squid_jigger","ZHEPUYUYUN98829"
