"","ssvid","seg_id","start_seg","end_seg","seg_length","positions","overlapping_seg","ndx"
"1","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-04-21 18:16:31,2023-02-02 08:23:01,286.587847222222,204255,FALSE,45
"2","150402944","150402944-2022-07-18T07:49:12.000000Z",2022-07-18 07:49:12,2022-07-18 15:29:28,0.31962962962963,27,TRUE,46
"3","150402944","150402944-2023-02-02T08:25:14.000000Z",2023-02-02 08:25:14,2023-02-04 23:58:08,2.64784722222222,2279,FALSE,48
"4","150402944","150402944-2023-02-03T17:10:17.000000Z",2023-02-03 17:10:17,2023-02-04 22:28:25,1.22092592592593,81,TRUE,49
"5","150402944","150402944-2023-02-05T00:00:08.000000Z",2023-02-05 00:00:08,2023-02-09 00:01:38,4.00104166666667,3081,FALSE,50
"6","150402944","150402944-2023-02-07T17:20:15.000000Z",2023-02-07 17:20:15,2023-02-08 08:46:40,0.643344907407407,27,TRUE,51
"7","412331279","412331279-2023-02-12T23:38:32.000000Z",2023-02-12 23:38:32,2023-03-26 23:52:32,42.0097222222222,14557,FALSE,122
"8","412331279","412331279-2023-03-18T18:38:17.000000Z",2023-03-18 18:38:17,2023-03-20 10:17:51,1.65247685185185,6,TRUE,123
"9","412331283","412331283-2021-09-17T11:00:19.000000Z",2021-09-17 11:00:19,2021-11-30 13:40:20,74.1111226851852,41717,FALSE,191
"10","412331283","412331283-2021-10-10T21:26:24.000000Z",2021-10-10 21:26:24,2021-10-15 04:15:27,4.2840625,89,TRUE,192
"11","412331284","412331284-2021-08-12T02:11:48.000000Z",2021-08-12 02:11:48,2021-09-19 14:47:21,38.5246875,5150,FALSE,214
"12","412331284","412331284-2021-09-13T00:54:55.000000Z",2021-09-13 00:54:55,2021-09-17 10:02:25,4.38020833333333,263,TRUE,215
"13","412331284","412331284-2022-10-07T14:30:25.000000Z",2022-10-07 14:30:25,2022-11-02 22:26:05,26.3303240740741,11408,FALSE,223
"14","412331284","412331284-2022-10-08T19:11:00.040000Z",2022-10-08 19:11:00,2022-10-12 08:49:41,3.56853553240774,83,TRUE,224
"15","412331284","412331284-2022-11-03T20:35:07.000000Z",2022-11-03 20:35:07,2022-11-06 21:56:01,3.05618055555556,136,FALSE,228
"16","412331284","412331284-2022-11-04T06:13:32.000000Z",2022-11-04 06:13:32,2023-02-09 00:40:10,96.7684953703704,60659,TRUE,229
"17","412331285","412331285-2021-09-09T08:51:36.000000Z",2021-09-09 08:51:36,2021-09-14 06:10:00,4.88777777777778,63,FALSE,246
"18","412331285","412331285-2021-09-13T00:56:04.000000Z",2021-09-13 00:56:04,2021-09-17 10:48:00,4.41106481481481,679,TRUE,247
"19","412331285","412331285-2021-09-15T12:20:47.000000Z",2021-09-15 12:20:47,2021-09-19 12:21:39,4.00060185185185,111,TRUE,248
"20","412331285","412331285-2021-09-29T05:22:50.000000Z",2021-09-29 05:22:50,2021-11-30 11:24:52,62.251412037037,10389,FALSE,249
"21","412331285","412331285-2021-10-14T07:20:48.000000Z",2021-10-14 07:20:48,2021-10-15 02:00:01,0.777233796296296,40,TRUE,250
"22","412331285","412331285-2021-12-03T23:43:31.000000Z",2021-12-03 23:43:31,2022-06-17 10:20:21,195.44224537037,125438,FALSE,254
"23","412331285","412331285-2021-12-20T04:17:29.840000Z",2021-12-20 04:17:29,2021-12-21 21:51:27,1.7319141203717,8,TRUE,255
"24","412331285","412331285-2022-09-08T07:06:15.170000Z",2022-09-08 07:06:15,2022-09-10 09:40:03,2.1068085648147,52,FALSE,279
"25","412331285","412331285-2022-09-08T23:50:12.660000Z",2022-09-08 23:50:12,2022-09-10 08:39:52,1.36782476851786,18,TRUE,280
"26","412331285","412331285-2022-09-12T09:32:08.330000Z",2022-09-12 09:32:08,2022-09-18 03:29:25,5.74811712963162,91,FALSE,283
"27","412331285","412331285-2022-09-13T04:40:47.290000Z",2022-09-13 04:40:47,2022-09-13 21:17:29,0.692153009259039,7,TRUE,284
"28","412334074","412334074-2020-04-20T13:04:21.000000Z",2020-04-20 13:04:21,2020-06-16 17:33:21,57.1868055555556,1590,FALSE,294
"29","412334074","412334074-2020-06-16T13:41:52.000000Z",2020-06-16 13:41:52,2020-06-16 15:00:31,0.0546180555555556,6,TRUE,295
"30","412334074","412334074-2021-12-05T03:43:08.080000Z",2021-12-05 03:43:08,2022-05-15 14:52:02,161.464512962964,5964,FALSE,316
"31","412334074","412334074-2022-04-19T16:59:48.000000Z",2022-04-19 16:59:48,2022-05-15 17:03:47,26.0027662037037,1171,TRUE,317
"32","412334074","412334074-2022-05-15T17:22:07.000000Z",2022-05-15 17:22:07,2022-05-15 21:20:45,0.165717592592593,14,FALSE,318
"33","412334074","412334074-2022-05-15T19:18:51.000000Z",2022-05-15 19:18:51,2022-05-15 21:46:40,0.102650462962963,8,TRUE,319
"34","412334074","412334074-2022-05-16T00:49:58.000000Z",2022-05-16 00:49:58,2022-05-16 08:47:14,0.331435185185185,22,FALSE,320
