"type","ssvid","timestamp","shipname","callsign","lat","lon","speed"
"AIS.19","150400453",2022-02-18 02:45:56,"FUYUANYU 715",NA,-45.554885,-60.2762016666667,0.7
"AIS.19","150400453",2022-04-20 02:26:41,"FUYUANYU 715",NA,-46.62654,-60.070345,0.4
"AIS.19","150400453",2022-07-04 02:29:53,"FUYUANYU 715",NA,-46.468675,-60.4671883333333,1.1
"AIS.19","150400453",2022-01-16 18:10:40,"FUYUANYU 715",NA,-45.8105016666667,-60.4559983333333,1.3
"AIS.19","150400453",2022-05-02 04:13:44,"FUYUANYU 715",NA,-45.9396933333333,-60.2056016666667,0.8
"AIS.19","150400453",2022-01-02 17:05:32,"FUYUANYU 715",NA,-45.479725,-60.1772833333333,1.1
"AIS.19","150400453",2022-05-19 12:33:33,"FUYUANYU 715",NA,-45.5838516666667,-60.2066566666667,1.3
"AIS.19","150400453",2022-06-27 07:25:03,"FUYUANYU 715",NA,-45.7465516666667,-60.0982833333333,1
"AIS.19","150400453",2022-06-22 04:39:20,"FUYUANYU 715",NA,-46.2787733333333,-60.3473066666667,0.7
"AIS.19","150400453",2022-06-26 15:18:28,"FUYUANYU 715",NA,-45.95256,-60.14432,1.5
"AIS.19","150400453",2022-02-28 08:14:58,"FUYUANYU 715",NA,-46.2111766666667,-59.3088666666667,1.2
"AIS.19","150400453",2022-05-11 21:08:00,"FUYUANYU 715",NA,-45.4616583333333,-60.121305,0.7
"AIS.19","150400453",2022-02-24 04:52:14,"FUYUANYU 715",NA,-45.6651266666667,-60.3030633333333,0.2
"AIS.19","150400453",2022-05-18 23:45:09,"FUYUANYU 715",NA,-45.6711266666667,-60.1325816666667,1.1
"AIS.19","150400453",2022-01-14 06:10:48,"FUYUANYU 715",NA,-45.604925,-60.4533183333333,0.9
"AIS.19","150400453",2022-01-12 03:30:07,"FUYUANYU 715",NA,-45.7267266666667,-60.5558116666667,0.8
"AIS.19","150400453",2022-02-05 01:43:17,"FUYUANYU 715",NA,-45.3114716666667,-60.3707916666667,0.9
"AIS.19","150400453",2022-06-26 21:24:45,"FUYUANYU 715",NA,-45.9046733333333,-60.1966266666667,0.9
"AIS.19","150400453",2022-06-27 00:48:48,"FUYUANYU 715",NA,-45.8671316666667,-60.1510066666667,0.9
"AIS.19","150400453",2022-06-18 05:16:04,"FUYUANYU 715",NA,-46.168875,-60.2339516666667,1.3
"AIS.19","150400453",2022-01-18 04:12:29,"FUYUANYU 715",NA,-46.0522383333333,-60.6444316666667,0.5
"AIS.19","150400453",2022-03-13 02:45:59,"FUYUANYU 715",NA,-45.919415,-60.2096816666667,0.3
"AIS.19","150400453",2022-07-14 05:50:45,"FUYUANYU 715",NA,-46.53636,-60.5348483333333,0.6
"AIS.19","150400453",2022-03-04 03:31:46,"FUYUANYU 715",NA,-45.828035,-60.3424716666667,0.7
"AIS.19","150400453",2022-06-06 04:03:05,"FUYUANYU 715",NA,-45.8551616666667,-60.1856166666667,1.4
"AIS.19","150400453",2022-01-13 21:52:34,"FUYUANYU 715",NA,-45.63097,-60.6115116666667,4.4
"AIS.19","150400453",2022-06-18 11:10:14,"FUYUANYU 715",NA,-46.0399183333333,-60.233205,2
"AIS.19","150400453",2022-05-11 14:13:16,"FUYUANYU 715",NA,-45.8043583333333,-60.1343533333333,4.5
"AIS.19","150400453",2022-04-22 19:38:28,"FUYUANYU 715",NA,-45.2333116666667,-60.0450716666667,9.7
"AIS.19","150400453",2022-06-10 21:41:09,"FUYUANYU 715",NA,-46.7726933333333,-58.6569866666667,9.5
"AIS.19","150400453",2022-01-20 11:24:14,"FUYUANYU 715",NA,-45.2326566666667,-60.45711,4.3
"AIS.19","150400453",2021-12-31 11:01:02,"FUYUANYU 715",NA,-45.16791,-60.2225783333333,8
"AIS.19","150400453",2022-06-28 02:44:21,"FUYUANYU 715",NA,-46.106295,-60.268925,0.9
"AIS.19","150400453",2022-07-08 06:23:13,"FUYUANYU 715",NA,-46.63877,-60.65226,1.3
