"type","ssvid","timestamp","shipname","callsign","lat","lon","speed"
"AIS.24","150005853",2022-10-28 11:38:53,"ZHESHENGYU05853/17V4",NA,NA,NA,NA
"AIS.24","150005853",2022-10-29 04:19:38,"ZHESHENGYU05853/17V3",NA,NA,NA,NA
"AIS.24","150005853",2022-10-21 15:49:31,"ZHESHENGYU05853/18V0",NA,NA,NA,NA
"AIS.24","150005853",2022-10-27 00:12:09,"ZHESHENGYU05853/17V6",NA,NA,NA,NA
"AIS.24","150005853",2022-10-27 09:24:10,"ZHESHENGYU05853/17V6",NA,NA,NA,NA
"AIS.24","150005853",2022-11-05 07:43:30,"ZHESHENGYU05853/18V0",NA,NA,NA,NA
"AIS.24","150005853",2022-10-26 08:17:51,"ZHESHENGYU05853/17V6",NA,NA,NA,NA
"AIS.24","150005853",2022-10-27 10:11:09,"ZHESHENGYU05853/17V5",NA,NA,NA,NA
"AIS.24","150005853",2022-10-28 11:32:35,"ZHESHENGYU05853/17V4",NA,NA,NA,NA
"AIS.24","150005853",2022-10-24 20:09:12,"ZHESHENGYU05853/17V8",NA,NA,NA,NA
"AIS.24","150005853",2022-11-05 06:40:07,"ZHESHENGYU05853/18V0",NA,NA,NA,NA
"AIS.24","150005853",2022-10-27 10:46:33,"ZHESHENGYU05853/17V5",NA,NA,NA,NA
"AIS.24","150005853",2022-10-29 05:49:36,"ZHESHENGYU05853/17V3",NA,NA,NA,NA
"AIS.24","150005853",2022-10-29 00:39:25,"ZHESHENGYU05853/17V4",NA,NA,NA,NA
"AIS.24","150005853",2022-10-26 09:07:25,"ZHESHENGYU05853/17V7",NA,NA,NA,NA
"AIS.24","150005853",2022-10-26 23:01:35,"ZHESHENGYU05853/17V6",NA,NA,NA,NA
"AIS.24","150005853",2022-10-29 05:02:24,"ZHESHENGYU05853/17V3",NA,NA,NA,NA
"AIS.24","150005853",2022-10-26 23:51:09,"ZHESHENGYU05853/17V5",NA,NA,NA,NA
"AIS.24","150005853",2022-10-26 07:32:03,"ZHESHENGYU05853/17V6",NA,NA,NA,NA
"AIS.24","150005853",2022-10-29 00:57:01,"ZHESHENGYU05853/17V4",NA,NA,NA,NA
"AIS.24","150005853",2022-11-05 19:34:39,"ZHESHENGYU05853/18V0",NA,NA,NA,NA
"AIS.24","150005853",2022-10-27 09:51:22,"ZHESHENGYU05853/17V5",NA,NA,NA,NA
"AIS.24","150005853",2022-10-24 20:26:40,"ZHESHENGYU05853/17V8",NA,NA,NA,NA
