msgid,source,type,ssvid,timestamp,lon,lat,speed,course,heading,shipname,callsign,destination,imo,shiptype,receiver_type,receiver,length,width,status,class_b_cs_flag,seg_id,n_shipname,n_callsign,n_imo,static_name,next_name,static_lat,static_lon
e6a63728-f161-7ac8-6345-7bcf119ac145,spire,AIS.19,150400467,2021-06-26 02:13:15.000000 UTC,-131.1605667,2.763375,27.6,279.7,283,LURONGYUANYU 715,,,,Fishing,satellite,FM128,70,12,,,150400467-2021-06-26T02:13:15.000000Z,LURONGYUANYU715,,,LURONGYUANYU 715,FUYUANYU 715,2.763375,-131.1605667
6432b804-6a78-5cc7-89ac-5748838aafa5,orbcomm,AIS.19,150402940,2020-04-07 02:36:50.000000 UTC,-121.2698383,3.965635,10.19999981,282,511,SHUN HANG 66,,,,"Cargo, all ships of this type",satellite,rORBCOMM999,50,10,,,150402940-2020-02-25T20:42:13.000000Z,SHUNHANG66,,,SHUN HANG 66,U RONG 5,3.965635,-121.2698383
fb2874fe-5cf0-351f-ce0d-9abad2348793,spire,AIS.19,150402940,2020-10-29 04:42:54.000000 UTC,122.4441983,36.87389167,0,27.5,511,U RONG 5,,,,"Cargo, all ships of this type",terrestrial,,50,10,,,150402940-2020-10-28T00:23:24.000000Z,URONG5,,,U RONG 5,SHUNHANG5,36.87389167,122.4441983
08301ae2-7583-20df-946e-255aa2e7c9b1,spire,AIS.19,150402940,2021-02-20 04:31:03.000000 UTC,-60.58789333,-47.17737667,0.6,321.6,511,SHUNHANG5,,,,Fishing,satellite,FM132,58,10,,,150402940-2021-02-10T12:17:43.000000Z,SHUNHANG5,,,SHUNHANG5,HAIHANG5,-47.17737667,-60.58789333
f84b3565-0263-8e58-b4cb-95b7b8aa2f68,spire,AIS.19,150402940,2021-04-12 01:09:53.000000 UTC,-60.106435,-45.40606333,0.6,183.4,511,"HAI,HANG,5,",,,,Fishing,satellite,FM136,58,10,,,150402940-2021-04-11T01:41:35.000000Z,HAIHANG5,,,"HAI,HANG,5,",LURONGYUANYU197,-45.40606333,-60.106435
4c4c1c52-b7c4-32c2-a971-6b74eb42449b,spire,AIS.19,150402944,2021-02-21 19:34:07.000000 UTC,-60.57145,-45.46064167,4.1,194,194,SHUNHANG1,,,,"Cargo, all ships of this type",satellite,FM112,50,10,,,150402944-2020-10-29T16:22:16.000000Z,SHUNHANG1,,,SHUNHANG1,HAIHANG1,-45.46064167,-60.57145
0237667c-41b4-1b41-26eb-3b4a860dac34,spire,AIS.19,150402944,2021-05-14 20:14:34.000000 UTC,-60.39269833,-46.38728333,1.3,332.4,332,HAIHANG1,,,,"Cargo, all ships of this type",satellite,FM144,50,10,,,150402944-2020-10-29T16:22:16.000000Z,HAIHANG1,,,HAIHANG1,LURONGYUANYU277,-46.38728333,-60.39269833
b7591abb-2b7e-2039-a2f0-6c9576af1d85,spire,AIS.19,150402944,2021-11-30 12:33:06.000000 UTC,-60.64341,-46.06853333,0.5,203.2,203,LURONGYUANYU277,,,,"Cargo, all ships of this type",satellite,FM42,50,10,,,150402944-2021-11-30T12:33:06.000000Z,LURONGYUANYU277,,,LURONGYUANYU277,HAIHANG1,-46.06853333,-60.64341
64424fcc-f895-546e-c6aa-2e4b2b94ffd2,spire,AIS.5,150402944,2021-12-20 20:03:03.000000 UTC,,,,,,HAIHANG1,BCLN2,,8786583,Fishing,satellite,FM108,59,11,,,,HAIHANG1,BCLN2,8786583,HAIHANG1,FUYUANYU9993,-45.32932333,-60.4992
863422e3-31e0-539b-c2d1-6be384e59c7d,spire,AIS.5,150402944,2022-07-18 13:27:07.000000 UTC,,,,,,FUYUANYU9993,,,0,Not available,satellite,FM141,50,10,,,,FUYUANYU9993,,,FUYUANYU9993,FUYUANYU717,-44.54116833,-58.47059167
