msgid,ssvid,seg_id,timestamp,lat,lon,speed_knots,heading,course,meters_to_prev,implied_speed_knots,hours,night,nnet_score,logistic_score,night_loitering,type,source,receiver_type,receiver,distance_from_sat_km,sat_altitude_km,sat_lat,sat_lon,elevation_m,distance_from_shore_m,distance_from_port_m,is_fishing_vessel
3f23dd99-9b33-57f7-b5bb-2cdea976b33f,412331283,412331283-2021-09-17T11:00:19.000000Z,2021-09-19 20:06:56.000000 UTC,34.083,128.82,8.1000003815,190.0,190.0,1273.8897568666248,21.532281627760721,0.031944444444444442,true,0.0,1.0,0,AIS.1,orbcomm,terrestrial,rORBCOMM000,,,,,-115.0,32000.0,50873.777,true
6f55c1a0-ea60-b12a-db6f-9ef366b663c3,412334074,412334074-2021-12-05T03:43:08.080000Z,2021-12-21 11:16:05.860000 UTC,-29.2330333333,39.3713333333,10.3,0.0,238.0,107.64846515885871,26.622040654591952,0.0021833333333333331,false,0.0,0.0,0,AIS.18,spire,dynamic,,,,,,-4937.0,658000.0,696753.188,true
51789d1c-8539-6612-0c5b-73887893d16a,412331282,412331282-2021-09-17T10:03:04.000000Z,2021-09-19 20:10:06.000000 UTC,34.0446566667,128.8110183333,7.8,511.0,194.7,2362.6742992454965,24.428795512549897,0.052222222222222225,true,0.0,0.0,0,AIS.1,spire,terrestrial,,,,,,-113.0,33000.0,55109.359,true
49600735-b974-fe5d-f9ff-2b9b6b0dffa9,412331282,412331282-2021-09-17T10:03:04.000000Z,2021-09-30 04:16:02.000000 UTC,5.5521933333,144.4994833333,10.1,511.0,95.6,52.458087923094723,25.492270116667495,0.0011111111111111111,false,0.0,0.0,0,AIS.1,spire,satellite,FM117,,,,,-4164.0,188000.0,829297.688,true
13ec1d4e-b6e9-5e45-bbd1-1481831b3a0f,412331282,412331282-2021-09-17T10:03:04.000000Z,2021-09-19 19:06:11.000000 UTC,34.1923,128.844,7.3000001907,197.0,197.0,1111.6780799380385,40.016705284169596,0.015,true,0.0,1.0,0,AIS.1,orbcomm,terrestrial,rORBCOMM000,,,,,-118.0,31000.0,39378.234,true
01956264-7d2f-8902-bb14-93992536d18e,412331283,412331283-2021-09-17T11:00:19.000000Z,2021-09-20 11:30:02.000000 UTC,32.132355,128.75596,8.5,511.0,151.4,2635.6165046746046,32.425089076687279,0.043888888888888887,true,0.0,0.0,0,AIS.1,spire,terrestrial,,,,,,-358.0,34000.0,80052.953,true
2a4666d7-0099-44d8-ac87-964bf1c849d5,150204593,150204593-2021-01-14T17:31:17.000000Z,2021-01-16 22:40:03.000000 UTC,36.8201166667,122.4433166667,0.2,511.0,53.3,1891.4262851559758,20.312664318297728,0.050277777777777775,true,0.0,0.0,0,AIS.18,spire,terrestrial,,,,,,-20.0,6000.0,0.0,false
37814e07-3790-5b7e-82a7-a437f62a083f,412331282,412331282-2021-09-17T10:03:04.000000Z,2021-09-19 20:46:30.000000 UTC,33.98,128.797,8.1999998093,191.0,191.0,1231.1288706093144,28.489201443664253,0.023333333333333334,true,0.0,0.0,0,AIS.1,orbcomm,terrestrial,rORBCOMM000,,,,,-115.0,36000.0,61597.594,true
52110a8a-7f7b-f3e6-5d7c-b49ad9ddec56,412420574,412420574-2021-02-04T01:48:59.000000Z,2021-06-27 05:55:00.000000 UTC,-0.880725,-109.89128,8.6,511.0,94.9,36.736771133460337,23.803223488214286,0.00083333333333333339,true,0.0,0.0,0,AIS.18,spire,satellite,FM134,,,,,-3902.0,1241000.0,1896586.5,true
93487d72-f18c-ed71-b174-a8ae885ebcb5,412420574,412420574-2021-02-04T01:48:59.000000Z,2021-06-20 07:09:19.000000 UTC,-0.138305,-117.198805,9.4,300.0,300.5,1540.9609203739499,23.585438238120407,0.035277777777777776,true,0.0,1.0,0,AIS.18,spire,satellite,FM122,,,,,-4128.0,1455000.0,2283193.0,true
