"source","type","ssvid","timestamp","lon","lat","speed","course","heading","shipname","callsign","destination","imo","shiptype","receiver_type","receiver","length","width","status"
"orbcomm","AIS.1","412331284",2022-11-11 18:31:59,-81.1454433333333,-17.9850366666667,0.5,339.899993896484,511,NA,NA,NA,NA,NA,"satellite","rORBCOMM999",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 12:34:52,-81.1358966666667,-18.02895,0.5,335.8,511,NA,NA,NA,NA,NA,"satellite","FM115",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 12:31:31,-81.1357133333333,-18.0293616666667,0.5,333.7,511,NA,NA,NA,NA,NA,"satellite","FM115",NA,NA,0
"orbcomm","AIS.1","412331284",2022-11-11 12:41:41,-81.1361933333333,-18.0280066666667,0.5,342.399993896484,511,NA,NA,NA,NA,NA,"satellite","rORBCOMM999",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 12:35:52,-81.1359416666667,-18.0288066666667,0.6,344.8,511,NA,NA,NA,NA,NA,"satellite","FM115",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 12:57:33,-81.1368533333333,-18.0258933333333,0,318.3,511,NA,NA,NA,NA,NA,"satellite","FM46",NA,NA,0
"orbcomm","AIS.1","412331284",2022-11-11 12:32:49,-81.135785,-18.0292066666667,0.5,336.100006103516,511,NA,NA,NA,NA,NA,"satellite","rORBCOMM999",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 13:00:52,-81.13704,-18.0255466666667,0.6,341.5,511,NA,NA,NA,NA,NA,"satellite","FM46",NA,NA,0
"orbcomm","AIS.1","412331284",2022-11-11 12:34:30,-81.13588,-18.02899,0.600000023841858,336.399993896484,511,NA,NA,NA,NA,NA,"satellite","rORBCOMM999",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 12:36:52,-81.1359833333333,-18.0286566666667,0.6,342,511,NA,NA,NA,NA,NA,"satellite","FM115",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 12:31:11,-81.135695,-18.02939,0.5,337,511,NA,NA,NA,NA,NA,"satellite","FM115",NA,NA,0
"orbcomm","AIS.1","412331284",2022-11-11 12:36:59,-81.1359916666667,-18.0286333333333,0.600000023841858,342.899993896484,511,NA,NA,NA,NA,NA,"satellite","rORBCOMM999",NA,NA,0
"orbcomm","AIS.1","412331284",2022-11-11 12:10:40,-81.1351116666667,-18.03262,0.5,333,511,NA,NA,NA,NA,NA,"satellite","rORBCOMM999",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 12:34:42,-81.1358866666667,-18.02897,0.5,334.1,511,NA,NA,NA,NA,NA,"satellite","FM115",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 12:58:02,-81.13688,-18.0258666666667,0,320.3,511,NA,NA,NA,NA,NA,"satellite","FM46",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 12:58:33,-81.1369066666667,-18.0258133333333,0.4,317.2,511,NA,NA,NA,NA,NA,"satellite","FM46",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 12:36:02,-81.1359483333333,-18.0287866666667,0.5,342.2,511,NA,NA,NA,NA,NA,"satellite","FM115",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 12:59:02,-81.13696,-18.02576,0.5,328.9,511,NA,NA,NA,NA,NA,"satellite","FM46",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 12:32:42,-81.1357766666667,-18.0292316666667,0.5,334.2,511,NA,NA,NA,NA,NA,"satellite","FM115",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 12:08:57,-81.1350183333333,-18.0328,0.5,328.2,511,NA,NA,NA,NA,NA,"satellite","FM117",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 12:33:52,-81.13584,-18.0290766666667,0.6,338.8,511,NA,NA,NA,NA,NA,"satellite","FM115",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 19:49:33,-81.1493783333333,-17.9747716666667,0.5,336.8,511,NA,NA,NA,NA,NA,"satellite","FM130",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 21:03:12,-81.1514866666667,-17.9675516666667,0,354.9,511,NA,NA,NA,NA,NA,"satellite","FM115",NA,NA,0
"orbcomm","AIS.1","412331284",2022-11-11 20:51:19,-81.1511916666667,-17.9686233333333,0.5,339.799987792969,511,NA,NA,NA,NA,NA,"satellite","rORBCOMM999",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 20:25:48,-81.1507066666667,-17.9708533333333,0,341.3,511,NA,NA,NA,NA,NA,"satellite","FM150",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 20:07:52,-81.150285,-17.972825,0.5,338,511,NA,NA,NA,NA,NA,"satellite","FM106",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 21:17:31,-81.15174,-17.9661783333333,0,343.8,511,NA,NA,NA,NA,NA,"satellite","FM121",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 20:43:40,-81.1510383333333,-17.9692933333333,0,347.4,511,NA,NA,NA,NA,NA,"satellite","FM129",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 20:20:27,-81.1505966666667,-17.97136,0,345.9,511,NA,NA,NA,NA,NA,"satellite","FM138",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 21:06:12,-81.1515233333333,-17.967255,0,345.9,511,NA,NA,NA,NA,NA,"satellite","FM115",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 20:46:48,-81.1510883333333,-17.969015,0,342.9,511,NA,NA,NA,NA,NA,"satellite","FM144",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 20:46:54,-81.15109,-17.968995,0.4,342.1,511,NA,NA,NA,NA,NA,"satellite","FM119",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 20:39:50,-81.1509666666667,-17.969595,0,347.9,511,NA,NA,NA,NA,NA,"satellite","FM129",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 20:53:27,-81.1512466666667,-17.968445,0,342,511,NA,NA,NA,NA,NA,"satellite","FM119",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 20:29:28,-81.1507866666667,-17.970515,0,353.8,511,NA,NA,NA,NA,NA,"satellite","FM150",NA,NA,0
"spire","AIS.1","412331284",2022-11-11 20:20:38,-81.1505983333333,-17.97134,0,347.8,511,NA,NA,NA,NA,NA,"satellite","FM138",NA,NA,0
