"source","type","ssvid","timestamp","lon","lat","speed","course","heading","shipname","callsign","destination","imo","shiptype","receiver_type","receiver","length","width","status"
"spire","AIS.18","150400453",2022-11-11 15:26:57,-81.1389766666667,-18.0064416666667,0.5,343.1,343,NA,NA,NA,NA,NA,"satellite","FM127",NA,NA,0
"orbcomm","AIS.18","150400453",2022-11-11 08:59:42,-81.130295,-18.05926,0.5,353.700012207031,353,NA,NA,NA,NA,NA,"satellite","rORBCOMM999",NA,NA,NA
"spire","AIS.18","150400453",2022-11-11 12:53:54,-81.13661,-18.026295,0.5,348.5,348,NA,NA,NA,NA,NA,"satellite","FM46",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 20:48:02,-81.1511466666667,-17.9688833333333,0.4,0.5,0,NA,NA,NA,NA,NA,"satellite","FM119",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 15:41:59,-81.1394766666667,-18.0048966666667,0.4,355.3,355,NA,NA,NA,NA,NA,"satellite","FM122",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 21:03:04,-81.15151,-17.96754,0.7,4,10,NA,NA,NA,NA,NA,"satellite","FM67",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 15:29:57,-81.1391083333333,-18.0061866666667,0.3,352.7,352,NA,NA,NA,NA,NA,"satellite","FM127",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 14:32:54,-81.1383383333333,-18.013045,0.5,10.6,10,NA,NA,NA,NA,NA,"satellite","FM102",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 07:29:41,-81.127875,-18.0733816666667,0.6,348.9,348,NA,NA,NA,NA,NA,"satellite","FM144",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 05:23:35,-81.1243883333333,-18.09088,0.6,340.1,340,NA,NA,NA,NA,NA,"satellite","FM119",NA,NA,0
"spire","AIS.18","150400453",2022-11-11 02:35:35,-81.1223883333333,-18.1124266666667,0.6,12.5,12,NA,NA,NA,NA,NA,"satellite","FM46",NA,NA,0
"spire","AIS.19","150400453",2022-11-11 21:47:33,-81.1520816666667,-17.9635816666667,0.3,11.5,11,"LURONGYUANYU 715",NA,NA,NA,"Fishing","satellite","FM106",70,12,NA
"spire","AIS.18","150400453",2022-11-11 02:41:32,-81.1223833333333,-18.111645,0.4,14.2,14,NA,NA,NA,NA,NA,"satellite","FM120",NA,NA,0
