"","msgid","ssvid","seg_id","timestamp","lat","lon","speed_knots","heading","course","meters_to_prev","implied_speed_knots","hours","night","nnet_score","logistic_score","night_loitering","type","source","receiver_type","distance_from_port_m","distance_from_shore_m","distance_from_sat_km","is_fishing_vessel","AIS_class","day"
"1","5df6144a-be92-8b31-0498-b4c807fff5cb","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-23 23:00:07,-45.9597433333333,-60.2108566666667,0,511,172,0,0,0.0113888888888889,TRUE,1,0,1,"AIS.1","spire","satellite",445910.312,429000,338.094250195015,TRUE,"A",23
"2","d2a99beb-b0ce-bc64-16ed-f77c1f3fcce6","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-23 23:01:08,-45.9597616666667,-60.2108716666667,0,511,246.5,0,0,0.0169444444444444,TRUE,1,0,1,"AIS.1","spire","satellite",445910.312,429000,309.130082761602,TRUE,"A",23
"3","bd764550-c5cc-9870-e10c-d353f8fc3c52","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-23 23:02:17,-45.959765,-60.21088,0.2,511,273.1,0,0,0.0191666666666667,TRUE,1,0,1,"AIS.1","spire","satellite",445910.312,429000,705.520646508053,TRUE,"A",23
"4","1595ca37-8314-b6cf-f64e-8b4b3417aad9","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-23 23:03:46,-45.9597233333333,-60.2108833333333,0,511,33.7,0,0,0.0247222222222222,TRUE,1,0,1,"AIS.1","spire","satellite",445910.312,429000,1296.06916609137,TRUE,"A",23
"5","23417274-0b77-a317-30f9-e33bbc70b94c","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-23 23:04:16,-45.9597233333333,-60.210885,0,511,32.6,0,0,0.00833333333333333,TRUE,1,0,1,"AIS.1","spire","satellite",445910.312,429000,1498.83746785965,TRUE,"A",23
"6","e0dac738-e07b-fb62-d96c-377fe2d5d958","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-23 23:05:06,-45.9597233333333,-60.21089,0,511,106.9,0,0,0.0138888888888889,TRUE,1,0,1,"AIS.1","spire","satellite",445910.312,429000,1838.3405186538,TRUE,"A",23
"7","96cf6e18-7021-530a-a6b3-499d61af3753","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-23 23:07:27,-45.9597433333333,-60.2108716666667,0,511,199.399993896484,0,0,0.0391666666666667,TRUE,1,0,1,"AIS.1","orbcomm","satellite",445910.312,429000,NA,TRUE,"A",23
"8","0672e15c-4fe6-5639-b6bb-f1f637f23e7d","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-23 23:13:46,-45.95972,-60.21093,0,511,292.399993896484,0,0,0.105277777777778,TRUE,1,0,1,"AIS.1","orbcomm","satellite",445910.312,429000,NA,TRUE,"A",23
"9","234629ff-98d1-f4f6-9dfa-5967e50b0dcb","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-23 23:23:38,-45.9597866666667,-60.2109333333333,0,511,149.4,0,0,0.164444444444444,TRUE,1,0,1,"AIS.1","spire","satellite",445910.312,429000,2307.81498022296,TRUE,"A",23
"10","c54dd3d7-90f9-493b-57cf-d613ca7f0e11","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-23 23:24:48,-45.95976,-60.2109333333333,0,511,106.3,0,0,0.0194444444444444,TRUE,1,0,1,"AIS.1","spire","satellite",445910.312,429000,2076.56939876874,TRUE,"A",23
