"","msgid","ssvid","seg_id","timestamp","lat","lon","speed_knots","heading","course","meters_to_prev","implied_speed_knots","hours","night","nnet_score","logistic_score","night_loitering","type","source","receiver_type","distance_from_port_m","distance_from_shore_m","distance_from_sat_km","is_fishing_vessel","AIS_class","day"
"398","33411706-4323-521d-8c43-97f653c79ac8","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:31:13,-44.5458066666667,-58.5105916666667,0.699999988079071,511,95.8000030517578,58.1442856020405,0.702000156763716,0.0447222222222222,FALSE,1,0,0,"AIS.1","orbcomm","satellite",541216.062,459000,NA,TRUE,"A",18
"399","771f4a99-6223-8a00-dc98-a03d85a6d1f9","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:32:42,-44.54579,-58.5101183333333,0.9,511,92,37.5562406900088,0.82025361548374,0.0247222222222222,FALSE,1,0,0,"AIS.1","spire","satellite",541216.062,459000,NA,TRUE,"A",18
"400","8c9b9a4e-2f56-9125-756d-17897966c880","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:33:12,-44.5457816666667,-58.5099716666667,0.7,511,85.3,11.6596625039337,0.755476172279878,0.00833333333333333,FALSE,1,0,0,"AIS.1","spire","satellite",541216.062,459000,NA,TRUE,"A",18
"401","ef7164bd-7c46-974a-0bbd-6d0f81da1e4e","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:34:30,-44.5457333333333,-58.5096266666667,0.7,511,76,27.8634695206052,0.694379093891574,0.0216666666666667,FALSE,1,0,0,"AIS.1","spire","satellite",541216.062,459000,576.224080123353,TRUE,"A",18
"402","7d528adb-5c8a-7b13-e3f5-29818437342c","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:35:39,-44.54568,-58.5092533333333,0.8,511,82.2,30.1744941274941,0.850054857607329,0.0191666666666667,FALSE,1,0,0,"AIS.1","spire","satellite",541216.062,459000,539.024894912932,TRUE,"A",18
"403","4bb6665e-163f-d2ae-e5d1-62657edfe7f3","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:36:09,-44.54568,-58.5090933333333,0.8,511,87.2,12.6794611576581,0.821553006249297,0.00833333333333333,FALSE,1,0,0,"AIS.1","spire","satellite",541216.062,459000,652.585050611759,TRUE,"A",18
"404","645126da-a8cc-c9d8-d0db-97e85c09b4e0","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:37:59,-44.5457066666667,-58.50856,0.7,511,90.9,42.3693373778759,0.748712412562389,0.0305555555555556,FALSE,1,0,0,"AIS.1","spire","satellite",541216.062,459000,1310.21973480258,TRUE,"A",18
"405","e45ca90c-669a-2621-53a5-9101f18cf1da","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:38:12,-44.5456883333333,-58.5085183333333,0.6,511,91,0,0,0.00361111111111111,FALSE,1,0,0,"AIS.1","spire","satellite",541216.062,459000,NA,TRUE,"A",18
"406","65419841-7853-f19c-ec49-12c296175183","150402944","150402944-2022-07-18T07:49:12.000000Z",2022-07-18 11:38:20,-44.574715,-58.589765,1.4,43,35,1167.26613943879,0.97005355586315,0.649722222222222,FALSE,NA,0,0,"AIS.18","spire","satellite",535498,454000,1447.99438549641,TRUE,"B",18
"407","1c9ff696-13a2-19e9-6aa2-ac6c8ce39c41","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:39:19,-44.5457066666667,-58.5081866666667,0.8,511,88.5,26.3629698748833,0.764848777644712,0.0186111111111111,FALSE,1,0,0,"AIS.1","spire","satellite",541216.062,459000,1854.50297452503,TRUE,"A",18
"408","b2fa9c2c-8746-4022-c068-c2ba142efb33","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:40:00,-44.5456816666667,-58.5079383333333,0.9,511,86.3,19.8752890383931,0.942292300941688,0.0113888888888889,FALSE,1,0,0,"AIS.1","spire","satellite",541216.062,459000,NA,TRUE,"A",18
"409","ca5af7f1-1032-3f53-e5b4-fa7778103d11","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:41:03,-44.5455983333333,-58.5076133333333,0.8,511,65.1,27.3716755675411,0.844533498439648,0.0175,FALSE,1,0,0,"AIS.1","spire","satellite",541216.062,459000,NA,TRUE,"A",18
"410","205649d3-93aa-7d09-279b-922c4e74ba70","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:42:41,-44.54543,-58.5070583333333,1,511,76,47.7998989571464,0.94810611827429,0.0272222222222222,FALSE,1,0,0,"AIS.1","spire","satellite",541216.062,459000,NA,TRUE,"A",18
"411","33031453-ffb5-7b37-fa95-e6174409f6be","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:43:20,-44.5453966666667,-58.5068483333333,0.9,511,77.6,17.0498086247309,0.849788692331398,0.0108333333333333,FALSE,1,0,0,"AIS.1","spire","satellite",541216.062,459000,NA,TRUE,"A",18
"412","a8ee9d54-c622-5134-d435-cea829767832","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:44:01,-44.5453633333333,-58.5066233333333,0.8,511,75.3,18.2122426641509,0.863446866717801,0.0113888888888889,FALSE,1,0,0,"AIS.1","spire","satellite",541216.062,459000,NA,TRUE,"A",18
"413","9542b9b4-a33d-3969-89ae-3f9f78856d63","150402944","150402944-2022-04-21T18:16:31.000000Z",2022-07-18 11:45:01,-44.5453166666667,-58.5063033333333,0.8,511,76.3,25.8848014534906,0.838589912688736,0.0166666666666667,FALSE,1,0,0,"AIS.1","spire","satellite",541216.062,459000,NA,TRUE,"A",18
