"","seg_id","day","ssvid","shipname","lon","lat"
"1","150060430-2020-02-23T10:48:55.000000Z",2020-02-23,"150060430","GHROB 10",50.19265717,26.14998673
"2","150060430-2020-02-24T13:35:37.000000Z",2020-02-24,"150060430","GHROB 10",50.1917938,26.15542672
"3","150060430-2020-03-10T08:46:19.000000Z",2020-03-10,"150060430","GHROB 10",50.19037871,26.15486124
"4","150060430-2020-03-13T08:46:20.000000Z",2020-03-13,"150060430","GHROB 10",50.19282144,26.14097242
"5","150060430-2020-03-16T11:57:46.000000Z",2020-03-16,"150060430","GHROB 10",50.194725,26.15679083
"6","150060430-2022-06-15T13:33:59.000000Z",2022-06-15,"150060430","GHROB 10",50.18454333,26.14700833
"7","150060430-2022-06-21T14:51:33.000000Z",2022-06-21,"150060430","GHROB 10",50.193875,26.15375
"8","150060430-2022-08-05T13:33:40.000000Z",2022-08-05,"150060430","GHROB 10",50.18405549,26.14753888
"9","150060430-2022-08-15T13:49:47.000000Z",2022-08-15,"150060430","GHROB 10",50.19741737,26.15063018
"10","150060430-2022-11-10T16:06:33.000000Z",2022-11-10,"150060430","GHROB 10            ",50.19497019,26.09555127
"11","150060430-2022-11-10T16:06:33.000000Z",2022-11-10,"150060430","GHROB 10",50.19497019,26.09555127
"12","150100000-2022-06-13T09:09:24.000000Z",2022-06-13,"150100000","MV WENETU",7.1599122,4.68202607
"13","150100000-2022-08-06T17:35:00.000000Z",2022-08-06,"150100000","MV WENETU",7.1589204,4.67443815
"14","150100000-2022-08-06T17:35:00.000000Z",2022-08-07,"150100000","MV WENETU",7.15827092,4.66897117
"15","150101050-2022-10-03T06:31:11.000000Z",2022-10-03,"150101050","MARGANA SAKTI II 1",138.93631833,-8.43318167
"16","150101050-2022-10-03T06:31:11.000000Z",2022-10-04,"150101050","MARGANA SAKTI II 1",138.7770555,-8.47450688
"17","150101050-2022-10-03T06:31:11.000000Z",2022-10-05,"150101050","MARGANA SAKTI II 1",138.63939661,-8.48564428
"18","150101050-2022-10-03T06:31:11.000000Z",2022-10-06,"150101050","MARGANA SAKTI II 1",138.60935697,-8.47852789
"19","150101050-2022-10-03T06:31:11.000000Z",2022-10-07,"150101050","MARGANA SAKTI II 1",138.55063642,-8.47900938
"20","150101050-2022-10-03T06:31:11.000000Z",2022-10-08,"150101050","MARGANA SAKTI II 1",138.54550359,-8.49723407
"21","150101050-2022-10-03T06:31:11.000000Z",2022-10-09,"150101050","MARGANA SAKTI II 1",138.72399911,-8.47548518
"22","150101050-2022-10-03T06:31:11.000000Z",2022-10-10,"150101050","MARGANA SAKTI II 1",138.85340271,-8.46425264
"23","150101050-2022-10-03T06:31:11.000000Z",2022-10-11,"150101050","MARGANA SAKTI II 1",138.80419945,-8.46619959
"24","150101050-2022-10-03T06:31:11.000000Z",2022-10-12,"150101050","MARGANA SAKTI II 1",138.78311906,-8.46007048
"25","150101050-2022-10-03T06:31:11.000000Z",2022-10-13,"150101050","MARGANA SAKTI II 1",138.93160722,-8.31345167
"26","150101050-2022-10-03T06:31:11.000000Z",2022-10-14,"150101050","MARGANA SAKTI II 1",138.81538313,-8.4421882
"27","150101050-2022-10-03T06:31:11.000000Z",2022-10-15,"150101050","MARGANA SAKTI II 1",138.79808064,-8.46353957
"28","150101050-2022-10-03T06:31:11.000000Z",2022-10-16,"150101050","MARGANA SAKTI II 1",138.52430511,-8.50643377
"29","150101050-2022-10-03T06:31:11.000000Z",2022-10-17,"150101050","MARGANA SAKTI II 1",138.40182079,-8.50083483
"30","150101050-2022-10-03T06:31:11.000000Z",2022-10-18,"150101050","MARGANA SAKTI II 1",138.22956686,-8.47119611
"31","150101050-2022-10-03T06:31:11.000000Z",2022-10-19,"150101050","MARGANA SAKTI II 1",138.22206269,-8.48248218
"32","150101050-2022-10-03T06:31:11.000000Z",2022-10-20,"150101050","MARGANA SAKTI II 1",138.40305954,-8.48957471
"33","150101050-2022-10-03T06:31:11.000000Z",2022-10-21,"150101050","MARGANA SAKTI II 1",138.46140745,-8.48242038
"34","150101050-2022-10-03T06:31:11.000000Z",2022-10-22,"150101050","MARGANA SAKTI II 1",138.47056879,-8.46323962
"35","150101050-2022-10-23T23:59:45.000000Z",2022-10-23,"150101050","MARGANA SAKTI II 1",138.89077167,-8.43227333
"36","150101050-2022-10-23T23:59:45.000000Z",2022-10-24,"150101050","MARGANA SAKTI II 1",138.84237185,-8.45884103
"37","150101050-2022-10-23T23:59:45.000000Z",2022-10-25,"150101050","MARGANA SAKTI II 1",138.78687828,-8.42843653
"38","150101050-2022-10-23T23:59:45.000000Z",2022-10-26,"150101050","MARGANA SAKTI II 1",138.85162501,-8.46485334
"39","150101050-2022-10-27T19:44:25.000000Z",2022-10-27,"150101050","MARGANA SAKTI II 1",138.82802524,-8.49863323
"40","150101050-2022-10-27T19:44:25.000000Z",2022-10-28,"150101050","MARGANA SAKTI II 1",138.56946314,-8.4573341
"41","150101050-2022-10-27T19:44:25.000000Z",2022-10-29,"150101050","MARGANA SAKTI II 1",138.80460957,-8.47502704
