"","msgid","ssvid","seg_id","timestamp","lat","lon","speed_knots","heading","course","meters_to_prev","implied_speed_knots","hours","night","nnet_score","logistic_score","night_loitering","type","source","receiver_type","distance_from_port_m","distance_from_shore_m","distance_from_sat_km","is_fishing_vessel","AIS_class","month","year"
"11","eb5e8ad3-d679-8ef7-e780-aafbd513afa7","150402951","150402951-2021-07-27T11:39:18.000000Z",2021-07-27 11:39:18,34.9873733333,129.0394283333,10.4,358,358.3,0,NA,0,TRUE,0,0,0,"AIS.18","spire","terrestrial",1111.949,8000,NA,TRUE,"B",7,2021
"12","9b63115d-f060-8bcc-38c9-a37ed79bae47","150402951","150402951-2020-05-18T20:50:05.000000Z",2020-05-18 20:50:05,-51.122665,-87.1764283333,8,80,207.8,0,NA,0,FALSE,0,0,0,"AIS.18","spire","satellite",934505.312,821000,1244.84904302741,TRUE,"B",5,2020
"13","8e84a58b-3606-5b91-e94b-28bb0803828e","150402951","150402951-2020-01-19T02:05:28.000000Z",2020-01-19 02:05:28,-43.6504,-60.727495,3.7,133,95.9,0,NA,0,TRUE,1,1,0,"AIS.18","spire","satellite",350933.906,256000,2476.17991806026,TRUE,"B",1,2020
"14","edf3f6d8-448b-21cc-132a-297878cfeed6","150402951","150402951-2021-01-15T16:48:26.000000Z",2021-01-15 16:48:26,-48.71138,-60.5785083333,4.3,350,351.7,0,NA,0,FALSE,1,1,0,"AIS.18","spire","satellite",366337.312,260000,NA,TRUE,"B",1,2021
"15","bc443555-0dbd-50e6-a02f-0ab2a0673d07","150402951","150402951-2020-09-12T20:46:34.000000Z",2020-09-12 20:46:34,-11.3824233333,-82.7326683333,0.3,229,229,0,NA,0,FALSE,0,0,0,"AIS.18","spire","satellite",516300,513000,790.346283939692,TRUE,"B",9,2020
"16","944b6632-0399-f775-11fc-88ab7f7b86cb","150402951","150402951-2020-09-07T06:20:41.000000Z",2020-09-07 06:20:41,-5.9178233333,-84.821735,6.5,179,178.6,0,NA,0,TRUE,0,0,0,"AIS.18","spire","satellite",415197.125,406000,270.188292774284,TRUE,"B",9,2020
"17","5146844b-b848-e462-e277-b2feeec491f4","150402951","150402951-2022-01-27T04:11:36.000000Z",2022-01-27 04:11:36,-45.7537666667,-60.5677016667,7.7,192,192.8,0,NA,0,TRUE,0,1,0,"AIS.18","spire","satellite",413447.406,395000,NA,TRUE,"B",1,2022
"18","fbf6180c-ecec-6e90-aadc-97ee0f9272db","150402951","150402951-2020-01-12T21:10:15.000000Z",2020-01-12 21:10:15,-52.3936416667,-58.1224016667,8.4,227,48.2,0,NA,0,FALSE,0,0,0,"AIS.18","spire","satellite",58697.953,39000,211.145646873783,TRUE,"B",1,2020
"19","15a63fb4-9631-3dd3-1128-2fd2d2d7a9c7","150402951","150402951-2020-09-08T15:17:19.000000Z",2020-09-08 15:17:19,-6.7785066667,-84.8848283333,0.2,279,279.9,0,NA,0,FALSE,0,0,0,"AIS.18","spire","satellite",437107.656,421000,1082.82678464249,TRUE,"B",9,2020
"20","01b66b38-7b6e-1db7-df4f-66f96f90d779","150402951","150402951-2020-09-16T13:12:20.000000Z",2020-09-16 13:12:20,-13.38479,-81.7213083333,7.9,107,104.9,0,NA,0,FALSE,1,0,0,"AIS.18","spire","satellite",510308.906,498000,NA,TRUE,"B",9,2020
"21","4de2c707-eef2-06e0-49e5-079ee954b13a","150402951","150402951-2020-02-17T23:58:22.000000Z",2020-02-17 23:58:22,-45.96653,-60.178375,8.5,191,191.5,0,NA,0,TRUE,NA,0,0,"AIS.18","spire","satellite",448430.25,432000,2238.33765359699,TRUE,"B",2,2020
"22","dde35128-7e15-87d5-0037-61809a689829","150402951","150402951-2020-02-08T11:38:40.000000Z",2020-02-08 11:38:40,-45.997745,162.9991716667,4.4,261,118,0,NA,0,TRUE,1,1,0,"AIS.18","spire","satellite",405476.375,265000,7690.82322353939,TRUE,"B",2,2020
"23","e5bc21fe-4c27-6bef-86a6-4ee0df5108f2","150402951","150402951-2020-02-07T15:39:37.000000Z",2020-02-07 15:39:37,-45.7321466667,-68.149575,0.8,218,220.5,0,NA,0,FALSE,NA,0,0,"AIS.18","spire","satellite",55137.941,0,1690.28882173365,TRUE,"B",2,2020
"24","82268a85-fe91-246a-67b6-3adc8efd8450","150402951","150402951-2021-06-01T13:25:35.000000Z",2021-06-01 13:25:35,-45.5339583333,-77.0023016667,34.9,2,3.4,0,NA,0,FALSE,NA,0,0,"AIS.18","spire","satellite",188049.156,153000,NA,TRUE,"B",6,2021
"25","39f829a2-5d94-4f44-23e1-83dd7639c952","150402951","150402951-2020-02-15T15:16:37.000000Z",2020-02-15 15:16:37,-46.8948716667,163.0320783333,1,291,288.6,0,NA,0,TRUE,1,1,0,"AIS.18","spire","satellite",387450.031,281000,7410.67577439784,TRUE,"B",2,2020
"26","eb599ea8-7436-d8e2-9c11-b77fc6080f72","150402951","150402951-2020-09-01T04:35:19.000000Z",2020-09-01 04:35:19,-4.82659,-86.203735,0.7,250,231,0,NA,0,TRUE,0,0,1,"AIS.18","spire","satellite",541515.125,537000,1563.4707823861,TRUE,"B",9,2020
"27","1a847779-b01f-6402-3bb9-fa757bac3fc5","150402951","150402951-2020-05-30T16:01:36.000000Z",2020-05-30 16:01:36,39.9901933333,-172.7911733333,0.7,350,126.7,0,NA,0,TRUE,NA,1,0,"AIS.18","spire","satellite",1352559.375,1329000,1630.56271861497,TRUE,"B",5,2020
