"","msgid","ssvid","seg_id","timestamp","lat","lon","speed_knots","heading","course","meters_to_prev","implied_speed_knots","hours","night","nnet_score","logistic_score","night_loitering","type","source","receiver_type","distance_from_port_m","distance_from_shore_m","distance_from_sat_km","is_fishing_vessel","AIS_class","month","year"
"1","24b883a9-259c-0ef5-885a-c5d67e3615e9","150402951","150402951-2020-01-26T11:22:46.000000Z",2020-01-26 11:22:46,-40.3152733333,-138.3815483333,5,195,195.8,0,NA,0,TRUE,1,1,0,"AIS.18","spire","satellite",1862521.125,1459000,6259.39187126966,TRUE,"B",1,2020
"2","6226bb94-3c55-42ff-9bde-644474fd716d","150402951","150402951-2020-04-16T02:05:05.000000Z",2020-04-16 02:05:05,9.9517333333,-154.0660933333,10,278,281,0,NA,0,FALSE,1,1,0,"AIS.18","spire","satellite",893998.438,884000,1520.70281813963,TRUE,"B",4,2020
"3","05225032-e93a-19eb-34bf-c8b7bed03493","150402951","150402951-2021-07-22T21:14:43.000000Z",2021-07-22 21:14:43,30.919755,131.36691,9.1,273,274,0,NA,0,FALSE,0,0,0,"AIS.18","spire","terrestrial",41987.582,31000,NA,TRUE,"B",7,2021
"4","688d0ed9-5531-3a11-f8e7-2c9f969f72d2","150402951","150402951-2020-11-03T01:53:58.000000Z",2020-11-03 01:53:58,-43.659165,-82.2433616667,9.1,288,296.1,0,NA,0,TRUE,0,0,0,"AIS.18","spire","satellite",643302.625,576000,NA,TRUE,"B",11,2020
"5","f0b64614-f6c0-1d7a-5ef4-10febf9c5bbe","150402951","150402951-2021-01-07T13:27:53.000000Z",2021-01-07 13:27:53,-51.0685766667,119.1025316667,19.4,251,14.2,0,NA,0,TRUE,1,1,0,"AIS.18","spire","satellite",1783691.75,1624000,8121.10512594424,TRUE,"B",1,2021
"6","65378c56-18c6-3af0-1595-c1941e6759ba","150402951","150402951-2021-03-11T04:14:52.000000Z",2021-03-11 04:14:52,-44.546415,-59.595095,3.4,219,233.3,0,NA,0,TRUE,NA,0,0,"AIS.18","spire","satellite",457265.312,381000,NA,TRUE,"B",3,2021
"7","eb6a6757-7873-82b1-06d2-7c625c4609a4","150402951","150402951-2020-05-19T04:29:37.000000Z",2020-05-19 04:29:37,-48.9108633333,-61.5378683333,0.9,207,218.6,0,NA,0,TRUE,0,0,0,"AIS.18","spire","satellite",340981.594,232000,2009.62933757572,TRUE,"B",5,2020
"8","9d7fe91b-efb5-7d5d-6b3b-842845e894e2","150402951","150402951-2021-01-04T02:23:30.000000Z",2021-01-04 02:23:30,-43.647365,-60.385975,3.2,19,231.3,0,NA,0,TRUE,1,1,0,"AIS.18","spire","satellite",378226.75,281000,NA,TRUE,"B",1,2021
"9","c8790505-4852-c2f1-dec9-0341eb189f12","150402951","150402951-2021-11-30T14:21:09.000000Z",2021-11-30 14:21:09,-46.0944883333,-60.6490416667,0,204,204.5,0,NA,0,FALSE,NA,0,0,"AIS.19","spire","satellite",417144.438,401000,NA,TRUE,"B",11,2021
"10","89f9f840-7dd6-78a8-f82b-3c2f3a493e00","150402951","150402951-2020-06-29T12:33:43.000000Z",2020-06-29 12:33:43,-13.9320516667,-86.151415,9.6,42,171,0,NA,0,FALSE,1,0,0,"AIS.18","spire","satellite",965116.438,964000,NA,TRUE,"B",6,2020
