"","msgid","ssvid","seg_id","timestamp","lat","lon","speed_knots","heading","course","meters_to_prev","implied_speed_knots","hours","night","nnet_score","logistic_score","night_loitering","type","source","receiver_type","distance_from_port_m","distance_from_shore_m","distance_from_sat_km","is_fishing_vessel","AIS_class","month","year"
"1","677ca132-d673-a5e1-6c51-c2beaa292e25","150402951","150402951-2021-11-30T14:21:09.000000Z",2021-12-21 14:42:12,-45.5198533333,-60.5216666667,3.7,511,3.6,1268.75908992408,39.7780531318746,0.0172222222222222,FALSE,1,1,0,"AIS.1","spire","satellite",412670.719,392000,NA,TRUE,"A",12,2021
"2","5ca2eb98-cdc8-ed67-620f-bfd90b78390b","150402951","150402951-2021-03-11T04:14:52.000000Z",2021-06-12 17:29:07,-15.0249783333,-104.4608283333,9,325,325.5,279.966044779403,23.661025963613,0.00638888888888889,FALSE,0,0,0,"AIS.18","spire","satellite",1431200,1426000,1802.96439015012,TRUE,"B",6,2021
"3","44c1e19d-af57-38d5-36e2-ea0324a7b318","150402951","150402951-2021-11-30T14:21:09.000000Z",2021-12-21 14:46:04,-45.5329666667,-60.51623,6.3,511,359.1,1941.86948213284,87.7824357385919,0.0119444444444444,FALSE,1,1,0,"AIS.1","spire","satellite",412837.562,392000,NA,TRUE,"A",12,2021
"4","8e5f8440-f854-e291-3b30-91f6a9f8b484","150402951","150402951-2021-03-11T04:14:52.000000Z",2021-05-30 04:50:04,-53.7496416667,-71.9616816667,9.3,292,292.7,145.038642335444,20.1377866960344,0.00388888888888889,TRUE,0,0,0,"AIS.18","spire","satellite",90597.031,4000,2079.05757577794,TRUE,"B",5,2021
"5","fb3bd386-12c6-5ae2-b286-d7d8ee06e246","150402951","150402951-2020-02-17T23:58:22.000000Z",2020-03-02 21:38:57,-45.863945,-60.158775,3.7999999523,195,195,956.486715571002,20.4311868951783,0.0252777777777778,FALSE,1,1,0,"AIS.18","orbcomm","satellite",447110.969,429000,NA,TRUE,"B",3,2020
"6","5e1b7bed-8fed-02c0-af86-e7221fa47474","150402951","150402951-2021-03-11T04:14:52.000000Z",2021-06-15 22:42:23,-4.8941616667,-111.7197616667,10.1,323,323.8,2036.00142812846,127.665170839505,0.00861111111111111,FALSE,0,0,0,"AIS.18","spire","satellite",2304976.75,1706000,2114.6695535204,TRUE,"B",6,2021
"7","ac162078-bf63-3fc9-3fb0-e5c01d8bb6ca","150402951","150402951-2021-03-11T04:14:52.000000Z",2021-06-29 20:45:07,5.8600283333,-141.30574,8.5,289,289.1,126.715473526872,27.3680079723338,0.0025,FALSE,0,0,0,"AIS.18","spire","satellite",1638026.125,1528000,NA,TRUE,"B",6,2021
"8","6edaa307-5fb4-0531-60a0-92d62aae96a8","150402951","150402951-2021-03-11T04:14:52.000000Z",2021-05-29 14:12:12,-52.5628766667,-69.6660816667,11.5,231,231.3,176.233259990408,26.3512104180426,0.00361111111111111,FALSE,0,0,0,"AIS.18","spire","satellite",86476.438,3000,896.525782496314,TRUE,"B",5,2021
"9","8ac19092-c192-7393-5565-c3b457236a87","150402951","150402951-2021-03-11T04:14:52.000000Z",2021-07-08 10:23:05,14.69361,-173.7103816667,9.8,295,295.7,157.187541051302,20.3696190697561,0.00416666666666667,TRUE,0,0,0,"AIS.18","spire","satellite",1714739.25,499000,NA,TRUE,"B",7,2021
"10","8c5978ac-9588-e621-69d8-789427f03772","150402951","150402951-2021-03-11T04:14:52.000000Z",2021-06-06 19:36:02,-31.8409333333,-89.9370683333,8.9,321,321.8,142.778522039417,39.6479638158085,0.00194444444444444,FALSE,0,0,0,"AIS.18","spire","satellite",1058570.5,882000,NA,TRUE,"B",6,2021
"11","4d9fec18-b0c0-9103-48b7-0329ccc651bd","150402951","150402951-2021-11-30T14:21:09.000000Z",2021-12-21 14:41:10,-45.5309466667,-60.517855,8.8,511,169.1,1066.36073459141,60.9650977386318,0.00944444444444444,FALSE,1,1,0,"AIS.1","spire","satellite",412837.562,392000,1914.50173773989,TRUE,"A",12,2021
"12","e94e0d74-b425-ada0-d660-f2767d54bd07","150402951","150402951-2021-03-11T04:14:52.000000Z",2021-06-24 18:30:12,0.9135083333,-121.7534966667,9.9,270,270.4,154.862519165519,21.5017758574514,0.00388888888888889,FALSE,0,0,0,"AIS.18","spire","satellite",2247135.5,1731000,NA,TRUE,"B",6,2021
"13","9483e14c-7d3e-65d8-1490-88e078df9130","150402951","150402951-2020-02-17T23:58:22.000000Z",2020-03-17 04:22:28,-45.8402483333,-60.143415,3.8,188,183.5,3589.97631785537,116.30446276956,0.0166666666666667,TRUE,1,1,0,"AIS.18","spire","satellite",448146.562,430000,2295.5596531502,TRUE,"B",3,2020
"14","0fe333af-60da-b801-9948-f234de58f2d3","150402951","150402951-2021-03-11T04:14:52.000000Z",2021-06-08 16:47:05,-26.9293816667,-94.420935,9.6,322,322.7,146.759285443181,35.6592042787706,0.00222222222222222,FALSE,0,0,0,"AIS.18","spire","satellite",1475443.25,1426000,NA,TRUE,"B",6,2021
"15","6fb49f1f-7449-bdc7-a80a-d8c9830b751c","150402951","150402951-2021-11-30T14:21:09.000000Z",2021-12-21 14:27:43,-45.5191266667,-60.539615,9.5,511,107.2,1728.6048570355,26.457454277187,0.0352777777777778,FALSE,1,1,0,"AIS.1","spire","satellite",411129.938,390000,NA,TRUE,"A",12,2021
