"","ssvid","positions","names"
"34","150001416",437,"NA"
"35","150203582",398,"NA"
"36","150470656",366,"NA"
"37","150200292",342,"NA"
"38","150101476",228,"MARGANA SAKTI II 2"
"39","150200856",226,"NA"
"40","150203759",216,"NA; "
"41","150016619",192,"YUELEIYU16619=15"
"42","150100000",186,"NA"
"43","150200264",181,"NA"
"44","150726016",173,"NA"
"45","150005853",167,"NA"
"46","150060430",146,"NA"
"47","150150197",146,"NA"
"48","150209848",129,"NA"
"49","150200835",100,"NA"
"50","150400381",100,"NA"
"51","150200282",97,"NA"
"52","150994958",91,"NA"
"53","150463852",89,"NA"
"54","150279189",78,"NA"
"55","150084510",70,"NA"
"56","150200285",19,"NA"
"57","150362304",19,"NA"
"58","150686912",16,"NA"
"59","1501307",15,"NA"
"60","150402980",15,"NA"
"61","150403006",15,"LURONGYUANYU277; NA"
"62","150084224",14,"NA"
"63","150402972",14,"NA"
"64","150684820",14,"NA"
"65","150797184",14,"NA"
"66","150087187",13,"NA"
"67","150402966",13,"NA"
"68","150402988",13,"NA; LURONGYUANYU277"
"69","150330462",12,"NA"
"70","150402961",12,"NA"
"71","150402969",12,"NA"
"72","150534144",12,"NA"
"73","150002201",11,"NA"
"74","150402958",11,"NA"
"75","150402963",11,"NA"
"76","150402965",11,"NA"
"77","150402973",11,"NA"
"78","150402976",11,"NA"
"79","150402989",11,"NA; HAIHANG1"
"80","150402995",11,"NA; FUYUANYU9993"
"81","150403003",11,"NA; LURONGYUANYU277; LURONGYUANYU278"
"82","150403005",11,"NA; LURONGYUANYU277"
"83","150400490",10,"NA"
"84","150402952",10,"NA; LURONGYUANYU277"
"85","150402967",10,"NA"
"86","150402974",10,"NA"
"87","150402990",10,"NA"
"88","150402993",10,"NA"
"89","150402996",10,"NA"
"90","150402999",10,"NA"
"91","150402960",9,"NA; FUYUANYU9993"
"92","150402975",9,"NA"
"93","150402978",9,"NA"
"94","150402984",9,"NA"
"95","150402998",9,"NA"
"96","150403001",9,"NA"
"97","150400463",8,"NA"
"98","150400465",8,"NA; LURONGYUANYU 715; FUYUANYU 715"
"99","150400483",8,"NA; LURONGYUANYU 715"
"100","150400488",8,"NA; LURONGYUANYU 715"
"101","150400495",8,"NA"
"102","150402945",8,"NA; HAIHANG1"
"103","150402954",8,"NA"
"104","150402955",8,"NA"
"105","150402970",8,"NA"
"106","150402977",8,"NA"
"107","150402986",8,"NA"
"108","150402991",8,"NA"
"109","150400456",7,"NA"
"110","150400457",7,"NA"
"111","150400479",7,"NA"
